Vuln_ID,Severity,Group_Title,Rule_ID,STIG_ID
V-38517,medium,SRG-OS-000096,SV-50318r5_rule,RHEL-06-000127
V-38518,medium,SRG-OS-000206,SV-50319r2_rule,RHEL-06-000133
V-38519,medium,SRG-OS-000206,SV-50320r2_rule,RHEL-06-000134
V-38520,medium,SRG-OS-000215,SV-50321r1_rule,RHEL-06-000136
V-38521,medium,SRG-OS-000043,SV-50322r1_rule,RHEL-06-000137
V-38522,low,SRG-OS-000062,SV-50323r3_rule,RHEL-06-000167
V-38523,medium,SRG-OS-999999,SV-50324r2_rule,RHEL-06-000083
V-38524,medium,SRG-OS-999999,SV-50325r2_rule,RHEL-06-000084
V-38525,low,SRG-OS-000062,SV-50326r4_rule,RHEL-06-000169
V-38526,medium,SRG-OS-999999,SV-50327r2_rule,RHEL-06-000086
V-38527,low,SRG-OS-000062,SV-50328r3_rule,RHEL-06-000171
V-38528,low,SRG-OS-999999,SV-50329r2_rule,RHEL-06-000088
V-38529,medium,SRG-OS-999999,SV-50330r2_rule,RHEL-06-000089
V-38530,low,SRG-OS-000062,SV-50331r2_rule,RHEL-06-000173
V-38531,low,SRG-OS-000004,SV-50332r2_rule,RHEL-06-000174
V-38532,medium,SRG-OS-999999,SV-50333r2_rule,RHEL-06-000090
V-38533,low,SRG-OS-999999,SV-50334r3_rule,RHEL-06-000091
V-38534,low,SRG-OS-000239,SV-50335r2_rule,RHEL-06-000175
V-38535,low,SRG-OS-999999,SV-50336r2_rule,RHEL-06-000092
V-38536,low,SRG-OS-000240,SV-50337r2_rule,RHEL-06-000176
V-38537,low,SRG-OS-999999,SV-50338r2_rule,RHEL-06-000093
V-38538,low,SRG-OS-000241,SV-50339r2_rule,RHEL-06-000177
V-38539,medium,SRG-OS-000142,SV-50340r2_rule,RHEL-06-000095
V-38540,low,SRG-OS-999999,SV-50341r4_rule,RHEL-06-000182
V-38541,low,SRG-OS-999999,SV-50342r2_rule,RHEL-06-000183
V-38542,medium,SRG-OS-999999,SV-50343r2_rule,RHEL-06-000096
